Concurso;Data do Sorteio;Coluna1;Coluna2;Coluna3;Coluna4;Coluna5;Coluna6;Ganhadores Faixa 1;Ganhadores Faixa 2;Ganhadores Faixa 3
1608;14/06/2014;5;6;17;43;54;59;0;79;5998
1609;18/06/2014;2;6;13;26;53;60;0;140;8573
1610;21/06/2014;1;4;9;35;36;53;0;173;9626
1611;25/06/2014;24;28;47;50;51;58;0;97;6367
1612;28/06/2014;6;13;17;36;42;51;2;261;16822
1613;02/07/2014;4;18;31;44;46;49;0;103;5801
1614;05/07/2014;14;17;21;27;43;49;1;149;7458
1615;09/07/2014;5;20;26;31;33;44;0;71;5701
1616;12/07/2014;28;31;40;42;46;58;0;185;6475
1617;16/07/2014;3;23;26;31;47;54;2;265;13116
1618;19/07/2014;9;20;24;43;51;52;1;32;3161
1619;23/07/2014;5;8;17;42;46;47;0;92;7438
1620;26/07/2014;13;23;27;34;38;57;0;136;9539
1621;30/07/2014;10;22;24;38;39;49;1;81;6823
1622;02/08/2014;4;5;7;21;45;53;0;107;7833
1623;05/08/2014;33;43;49;50;56;59;0;28;1825
1624;07/08/2014;2;27;32;41;47;58;0;76;4576
1625;09/08/2014;11;22;36;40;45;52;0;77;6419
1626;13/08/2014;3;5;14;35;43;52;0;158;12451
1627;16/08/2014;20;26;32;41;45;57;1;130;9306
1628;20/08/2014;26;29;34;38;50;60;0;36;2795
1629;23/08/2014;4;20;24;35;47;59;0;92;5701
1630;27/08/2014;1;7;30;43;44;54;0;81;6412
1631;30/08/2014;4;29;44;47;48;60;0;140;9659
1632;03/09/2014;6;18;24;27;56;59;1;244;16339
1633;06/09/2014;1;2;11;13;36;49;0;99;7430
1634;10/09/2014;9;10;23;33;44;51;1;110;6257
1635;13/09/2014;8;23;28;30;32;51;0;112;6874
1636;17/09/2014;19;26;33;35;51;52;0;90;8474
1637;20/09/2014;1;5;24;47;55;56;0;144;11489
1638;24/09/2014;1;2;38;41;42;58;0;143;9363
1639;27/09/2014;16;29;34;35;49;51;2;228;13321
1640;01/10/2014;2;6;18;23;31;46;2;253;12809
1641;04/10/2014;23;29;30;33;46;51;0;47;4951
1642;08/10/2014;3;23;42;43;47;60;0;53;5355
1643;11/10/2014;16;19;20;28;37;60;0;60;5152
1644;15/10/2014;10;13;16;22;34;60;0;92;8884
1645;18/10/2014;8;18;21;31;37;38;0;137;8400
1646;22/10/2014;19;23;34;40;41;58;0;126;10700
1647;25/10/2014;12;17;23;38;53;54;1;259;20655
1648;29/10/2014;15;16;18;20;22;48;0;98;5545
1649;01/11/2014;24;33;38;42;44;54;0;99;7522
1650;05/11/2014;17;23;29;38;57;60;0;133;10962
1651;08/11/2014;8;27;35;38;41;44;0;145;12024
1652;12/11/2014;7;24;26;28;44;57;0;391;22215
1653;14/11/2014;1;21;22;27;32;45;0;134;12071
1654;19/11/2014;7;16;33;42;50;58;0;249;19592
1655;22/11/2014;7;24;28;46;53;56;2;704;39616
1656;26/11/2014;4;6;11;43;54;56;0;55;5037
1657;29/11/2014;7;10;14;37;45;54;1;170;9969
1658;03/12/2014;7;11;19;23;40;49;1;110;7011
