CC,Data_Sorteio,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,Ganhador
2374,17/11/2021,1,3,5,7,9,10,14,15,16,17,20,21,22,23,25,1
2375,18/11/2021,4,5,8,11,12,13,14,17,18,19,20,21,22,23,25,1
2376,19/11/2021,1,2,4,6,8,9,14,15,16,17,19,21,22,23,24,2
2377,20/11/2021,1,2,3,4,5,6,8,9,10,12,14,18,19,20,24,3
2378,22/11/2021,1,2,3,4,5,10,12,14,15,16,17,21,23,24,25,1
2379,23/11/2021,1,2,3,5,7,8,9,11,12,15,16,20,23,24,25,3
2380,24/11/2021,1,3,5,6,7,9,10,11,13,14,15,17,21,22,24,1
2381,25/11/2021,1,2,5,8,9,10,11,14,15,18,19,20,23,24,25,4
2382,26/11/2021,1,2,3,4,5,6,7,9,10,11,14,15,19,21,24,0
2383,27/11/2021,1,2,3,7,9,11,12,13,14,15,16,18,20,22,24,3
2384,29/11/2021,1,3,4,5,7,9,10,11,13,15,16,18,20,22,24,38
2385,30/11/2021,1,2,3,5,10,11,12,13,16,17,18,21,22,23,24,0
2386,01/12/2021,2,3,6,7,8,10,12,13,14,15,16,17,18,23,24,6
2387,02/12/2021,2,4,5,8,9,10,12,16,17,19,20,21,22,24,25,3
2388,03/12/2021,3,4,5,7,8,9,10,12,13,15,16,17,19,23,25,4
2389,04/12/2021,4,5,6,8,9,10,11,12,18,19,21,22,23,24,25,0
2390,06/12/2021,1,2,3,4,5,6,10,11,15,19,20,21,22,23,24,8
2391,07/12/2021,3,4,5,6,8,9,11,12,14,18,19,21,22,24,25,1
2392,08/12/2021,1,2,5,6,8,11,12,13,16,17,18,22,23,24,25,0
2393,09/12/2021,2,3,5,10,11,12,15,16,17,19,20,21,22,23,25,0
2394,10/12/2021,1,4,6,7,9,10,12,17,18,19,20,21,22,23,25,4
2395,11/12/2021,1,2,5,6,7,10,13,14,15,17,18,19,20,23,25,2
2396,13/12/2021,1,3,4,7,10,12,13,16,17,18,20,22,23,24,25,4
2397,14/12/2021,2,4,6,7,9,10,13,14,15,17,18,20,21,22,25,1
2398,15/12/2021,2,3,4,5,6,9,10,12,13,14,15,20,22,23,25,0
2399,16/12/2021,1,2,4,5,7,9,12,14,15,16,17,19,20,21,25,0
2400,17/12/2021,2,3,5,9,10,11,12,13,14,15,16,20,21,23,25,3
2401,18/12/2021,1,4,5,6,7,9,10,11,12,15,16,19,20,22,23,4
2402,20/12/2021,1,2,3,4,5,6,9,10,11,13,14,18,20,23,25,3
2403,21/12/2021,1,4,5,8,10,12,16,17,18,19,20,21,23,24,25,1
2404,22/12/2021,1,2,3,4,5,7,10,11,12,14,15,22,23,24,25,1
2405,23/12/2021,2,3,4,5,6,7,8,9,11,15,17,18,19,21,23,1
2406,24/12/2021,1,2,3,5,6,8,10,12,15,17,20,21,23,24,25,3
2407,27/12/2021,1,2,3,4,6,8,9,11,12,17,18,19,20,23,24,1
2408,28/12/2021,1,3,4,6,8,9,10,11,12,13,16,19,21,22,23,4
2409,29/12/2021,1,2,5,6,7,8,9,10,12,16,19,20,21,22,25,3
2410,30/12/2021,1,2,3,4,7,9,10,13,14,16,17,19,20,22,23,3
2411,31/12/2021,1,2,3,4,5,7,8,9,10,12,13,14,17,19,24,7
2412,03/01/2022,1,4,6,7,8,9,11,13,14,15,17,18,19,21,24,3
2413,04/01/2022,1,3,4,5,6,7,8,9,12,15,16,18,20,21,25,2
2414,05/01/2022,3,4,5,6,7,8,9,10,11,13,16,17,19,21,24,4
2415,06/01/2022,2,6,7,9,10,11,12,13,14,19,20,21,22,23,25,0
2416,07/01/2022,4,5,6,7,11,13,14,15,16,17,18,20,21,22,25,1
2417,08/01/2022,1,4,6,7,8,9,10,11,14,15,17,18,22,23,25,1
2418,10/01/2022,3,4,7,8,11,12,13,14,16,17,18,19,20,23,24,4
2419,11/01/2022,2,3,5,6,10,11,12,13,15,18,19,21,22,23,24,0
2420,12/01/2022,1,3,5,9,10,11,12,13,14,15,18,21,22,24,25,2
2421,13/01/2022,3,4,5,6,7,10,13,14,16,17,19,20,21,22,24,3
2422,14/01/2022,1,2,3,4,5,7,8,10,11,12,14,17,18,22,25,1
2423,15/01/2022,3,4,5,7,8,9,10,11,15,16,17,18,19,20,24,1
2424,17/01/2022,1,3,4,5,6,9,10,11,14,15,16,20,22,23,25,1
2425,18/01/2022,1,3,4,5,6,10,11,13,15,19,20,21,22,24,25,1
2426,19/01/2022,1,2,3,6,7,8,9,11,13,19,20,21,22,23,24,2
2427,20/01/2022,1,3,6,8,11,15,16,17,18,19,20,21,22,23,24,1
2428,21/01/2022,2,5,6,7,9,10,11,12,15,16,17,18,20,24,25,0
2429,22/01/2022,1,4,5,6,8,9,10,11,12,14,15,19,20,21,24,2
2430,24/01/2022,1,4,5,7,8,10,11,12,14,17,18,19,20,21,23,7
2431,25/01/2022,4,6,7,8,9,10,11,12,13,14,17,18,19,22,25,0
2432,26/01/2022,3,5,6,7,8,9,11,12,13,14,15,19,20,21,25,1
2433,27/01/2022,1,3,4,5,6,9,10,11,12,13,15,18,20,21,24,4
2434,28/01/2022,1,4,7,11,13,14,16,17,19,20,21,22,23,24,25,1
